epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.30613,1.19251,2.93048,1.43144,0.01708,0.99355,0.45305,0.30189,1.01146,2.97594,1.4218,0.000406504,0.000406504,0.000406504
2,14.4241,1.15253,2.21246,1.4091,0.9077,0.25161,0.43102,0.27971,1.19253,2.3807,1.65836,0.000815021,0.000815021,0.000815021
3,20.5826,1.16237,1.95138,1.37187,0.35444,0.37419,0.44167,0.2526,1.32309,1.73461,1.68858,0.00121529,0.00121529,0.00121529
4,26.2014,1.21149,1.90516,1.39431,0.79129,0.26774,0.29311,0.14241,1.67277,2.20634,2.14972,0.00121287,0.00121287,0.00121287
5,32.0254,1.18691,1.80192,1.37905,0.37777,0.36774,0.40855,0.26514,1.20749,1.77951,1.62679,0.0012005,0.0012005,0.0012005
6,37.814,1.16499,1.66753,1.36409,0.38462,0.4,0.42082,0.26274,1.20485,1.33186,1.53181,0.00118812,0.00118812,0.00118812
7,43.3976,1.1671,1.61656,1.3701,0.28961,0.95806,0.50609,0.33214,1.15862,1.41541,1.5612,0.00117575,0.00117575,0.00117575
8,48.2879,1.1725,1.55975,1.37467,0.96631,0.31935,0.43216,0.29124,1.16354,1.2313,1.52152,0.00116337,0.00116337,0.00116337
9,53.1229,1.09439,1.45892,1.32302,0.90605,0.44194,0.45146,0.3079,1.11385,1.11047,1.48043,0.001151,0.001151,0.001151
10,57.8227,1.10495,1.35232,1.33653,0.91466,0.4129,0.48822,0.33047,1.13793,1.00803,1.44979,0.00113863,0.00113863,0.00113863
11,62.592,1.05592,1.27419,1.2864,0.96132,0.40968,0.46429,0.31025,1.12002,0.98863,1.47685,0.00112625,0.00112625,0.00112625
12,67.1901,1.06185,1.26272,1.30847,0.94082,0.40848,0.45394,0.30141,1.20152,0.95257,1.52969,0.00111388,0.00111388,0.00111388
13,71.8307,1.01693,1.21059,1.26455,0.8238,0.37097,0.37643,0.24625,1.22497,1.2065,1.534,0.0011015,0.0011015,0.0011015
14,77.0314,1.04409,1.21346,1.28404,0.95086,0.44392,0.46895,0.33154,1.01528,0.79711,1.34652,0.00108913,0.00108913,0.00108913
15,81.7213,1.00872,1.13288,1.27211,0.43569,0.43706,0.46871,0.32801,1.06144,0.82643,1.38345,0.00107675,0.00107675,0.00107675
16,88.4874,1.03137,1.14481,1.2849,0.948,0.44467,0.47568,0.33651,1.05397,0.86799,1.3989,0.00106437,0.00106437,0.00106437
17,93.1785,0.99299,1.08811,1.24099,0.97107,0.42903,0.46458,0.31536,1.1821,0.81174,1.46262,0.001052,0.001052,0.001052
18,97.8306,0.97188,1.11445,1.25678,0.42995,0.43556,0.46144,0.34077,0.97129,0.95406,1.28962,0.00103962,0.00103962,0.00103962
19,102.515,1.01204,1.069,1.25271,0.95437,0.41759,0.45347,0.29973,1.10439,0.87031,1.42404,0.00102725,0.00102725,0.00102725
20,107.145,0.97127,1.06709,1.22645,0.42768,0.92893,0.48031,0.34987,0.98306,0.89837,1.31537,0.00101488,0.00101488,0.00101488
21,112.297,0.98793,1.07478,1.22088,0.92757,0.43226,0.46881,0.32809,1.06613,0.83732,1.36112,0.0010025,0.0010025,0.0010025
22,117.149,0.9548,1.00808,1.21502,0.35771,0.4,0.42495,0.31715,0.91565,1.23273,1.26961,0.000990125,0.000990125,0.000990125
23,121.873,0.95402,1.02888,1.21257,0.91869,0.45484,0.47807,0.35326,0.95562,0.70751,1.26895,0.00097775,0.00097775,0.00097775
24,126.513,0.94257,0.96862,1.21155,0.47809,0.44516,0.49541,0.36354,1.03307,0.66238,1.35747,0.000965375,0.000965375,0.000965375
25,131.178,0.95336,0.98241,1.21327,0.46325,0.42258,0.49129,0.34803,1.04198,0.72342,1.38498,0.000953,0.000953,0.000953
26,135.809,0.94656,0.96797,1.21276,0.40652,0.64671,0.4998,0.35711,0.99805,0.71123,1.29619,0.000940625,0.000940625,0.000940625
27,140.508,0.91313,0.96029,1.19336,0.42235,0.43862,0.47598,0.34973,0.94506,0.82358,1.29361,0.00092825,0.00092825,0.00092825
28,145.131,0.91012,0.89234,1.20731,0.45154,0.46452,0.48617,0.35472,0.97442,0.61661,1.30475,0.000915875,0.000915875,0.000915875
29,150.115,0.91469,0.9331,1.19546,0.43782,0.95806,0.48891,0.36312,0.95049,0.71911,1.27613,0.0009035,0.0009035,0.0009035
30,154.872,0.89756,0.89977,1.1929,0.95896,0.43871,0.48904,0.36878,0.87252,0.63112,1.2133,0.000891125,0.000891125,0.000891125
31,159.646,0.88237,0.87044,1.17155,0.46436,0.44839,0.48223,0.37023,0.89546,0.62433,1.22352,0.00087875,0.00087875,0.00087875
32,164.332,0.92997,0.90228,1.21823,0.46325,0.46129,0.48725,0.33664,1.08124,0.66192,1.37606,0.000866375,0.000866375,0.000866375
33,168.982,0.90413,0.88557,1.1949,0.47086,0.95161,0.52293,0.37645,1.02471,0.70643,1.29659,0.000854,0.000854,0.000854
34,173.669,0.9292,0.87328,1.20463,0.45966,0.42903,0.47433,0.35421,0.99494,0.78577,1.29025,0.000841625,0.000841625,0.000841625
35,178.318,0.8832,0.86598,1.17777,0.46451,0.96318,0.48962,0.37274,0.92055,0.69001,1.244,0.00082925,0.00082925,0.00082925
36,183.524,0.8959,0.85565,1.17924,0.4661,0.44348,0.50081,0.37552,0.91936,0.62618,1.23375,0.000816875,0.000816875,0.000816875
37,188.812,0.89494,0.85498,1.18663,0.45158,0.47097,0.48594,0.35553,0.95095,0.60972,1.26995,0.0008045,0.0008045,0.0008045
38,193.421,0.88925,0.83229,1.18057,0.46149,0.46389,0.48971,0.37403,0.87086,0.60751,1.20865,0.000792125,0.000792125,0.000792125
39,198.025,0.85641,0.81168,1.16603,0.43924,0.94249,0.49619,0.35734,1.02169,0.85666,1.347,0.00077975,0.00077975,0.00077975
40,202.596,0.8386,0.77745,1.14543,0.47131,0.47696,0.49159,0.37818,0.87639,0.54049,1.20189,0.000767375,0.000767375,0.000767375
41,207.229,0.85858,0.79733,1.13416,0.47325,0.43871,0.49095,0.37078,0.89842,0.60021,1.22891,0.000755,0.000755,0.000755
42,213.481,0.8333,0.7654,1.13877,0.46099,0.43226,0.47927,0.36312,0.86546,0.60736,1.19721,0.000742625,0.000742625,0.000742625
43,217.551,0.87009,0.81651,1.15542,0.47181,0.4319,0.4758,0.35895,0.92502,0.63741,1.2702,0.00073025,0.00073025,0.00073025
44,221.864,0.85487,0.78764,1.14935,0.97003,0.43548,0.47804,0.36018,0.90308,0.63608,1.23512,0.000717875,0.000717875,0.000717875
45,226.996,0.82655,0.77783,1.13521,0.5126,0.87419,0.52315,0.39881,0.88126,0.73118,1.22549,0.0007055,0.0007055,0.0007055
46,231.115,0.81067,0.7679,1.12391,0.41477,0.97742,0.50182,0.3872,0.86477,0.61611,1.20248,0.000693125,0.000693125,0.000693125
47,235.222,0.80535,0.72813,1.12531,0.45401,0.43548,0.48589,0.37112,0.86352,0.65773,1.21412,0.00068075,0.00068075,0.00068075
48,239.875,0.82885,0.74715,1.14684,0.47123,0.42277,0.48822,0.37482,0.88919,0.70499,1.21247,0.000668375,0.000668375,0.000668375
49,245.617,0.84176,0.75877,1.13178,0.45489,0.44516,0.48787,0.38136,0.84925,0.71607,1.18342,0.000656,0.000656,0.000656
50,250.31,0.78418,0.68599,1.1211,0.43085,0.47097,0.48617,0.36586,0.90272,0.77019,1.23243,0.000643625,0.000643625,0.000643625
51,254.969,0.79787,0.72636,1.12695,0.42387,0.97097,0.49301,0.37667,0.84853,0.63288,1.19248,0.00063125,0.00063125,0.00063125
52,259.889,0.81435,0.71598,1.11926,0.4748,0.95484,0.50691,0.38451,0.89849,0.69276,1.21141,0.000618875,0.000618875,0.000618875
53,264.848,0.80685,0.74149,1.12024,0.46048,0.45104,0.48273,0.37098,0.85894,0.62618,1.18972,0.0006065,0.0006065,0.0006065
