epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.228,1.18288,2.98585,1.43501,0.03127,0.97097,0.42835,0.25876,1.14324,3.17166,1.52047,0.000406504,0.000406504,0.000406504
2,17.4298,1.14817,2.24368,1.38933,0.93654,0.13316,0.36634,0.23156,1.26025,2.70544,1.63997,0.000815021,0.000815021,0.000815021
3,24.2241,1.15615,2.01716,1.36213,0.90042,0.33727,0.40335,0.23743,1.29748,1.88447,1.70222,0.00121529,0.00121529,0.00121529
4,30.1166,1.21845,1.8896,1.3934,0.85924,0.35161,0.38086,0.25461,1.23534,1.65723,1.65897,0.00121287,0.00121287,0.00121287
5,35.9953,1.19691,1.81341,1.40628,0.41268,0.35484,0.40881,0.25712,1.26192,1.52699,1.69842,0.0012005,0.0012005,0.0012005
6,42.8991,1.19094,1.68162,1.40265,0.34674,0.36452,0.36879,0.21083,1.36903,1.84663,1.80187,0.00118812,0.00118812,0.00118812
7,47.7973,1.1431,1.58292,1.35142,0.91335,0.36129,0.4215,0.26613,1.26778,1.35856,1.57628,0.00117575,0.00117575,0.00117575
8,53.16,1.17416,1.54029,1.37417,0.93608,0.35215,0.43241,0.28049,1.1481,1.12099,1.47407,0.00116337,0.00116337,0.00116337
9,59.396,1.07671,1.41967,1.31353,0.93219,0.3871,0.44106,0.285,1.14617,1.16368,1.54263,0.001151,0.001151,0.001151
10,64.7561,1.09924,1.33737,1.33342,0.40279,0.38065,0.43027,0.28156,1.19206,1.15279,1.49581,0.00113863,0.00113863,0.00113863
11,70.1363,1.06395,1.26288,1.29584,0.90294,0.37499,0.4173,0.23312,1.53703,1.10628,1.90369,0.00112625,0.00112625,0.00112625
12,75.4968,1.05737,1.25738,1.309,0.9429,0.44194,0.46855,0.29537,1.27923,0.84027,1.5444,0.00111388,0.00111388,0.00111388
13,80.8268,1.0405,1.20846,1.27063,0.40881,0.41935,0.45489,0.33068,0.97798,0.85168,1.32016,0.0011015,0.0011015,0.0011015
14,86.1869,1.04296,1.17579,1.27718,0.94161,0.43871,0.46471,0.32342,1.13208,0.82189,1.41344,0.00108913,0.00108913,0.00108913
15,91.5734,0.98633,1.13959,1.24741,0.45682,0.42581,0.46734,0.33884,1.01486,0.85999,1.40159,0.00107675,0.00107675,0.00107675
16,97.5698,1.03488,1.14125,1.28679,0.42915,0.44943,0.46366,0.31461,1.13691,0.8398,1.41755,0.00106437,0.00106437,0.00106437
17,102.869,0.96909,1.0755,1.21571,0.432,0.40323,0.4566,0.32095,1.05734,0.84168,1.38825,0.001052,0.001052,0.001052
18,108.831,0.98134,1.10116,1.24724,0.43904,0.43226,0.46091,0.32315,1.09339,0.84472,1.41077,0.00103962,0.00103962,0.00103962
19,114.169,1.02103,1.06062,1.24994,0.97794,0.43871,0.4769,0.34549,1.03729,0.764,1.34855,0.00102725,0.00102725,0.00102725
20,119.49,0.98707,1.07956,1.23498,0.96083,0.40968,0.46179,0.31369,1.18193,0.85388,1.50214,0.00101488,0.00101488,0.00101488
